session,name,party,id
63rd,Joel Ferry,Rep,FERRYJ
63rd,Jefferson Moss,Rep,MOSSJ
63rd,Val Potter,Rep,POTTEVK
63rd,Dan Johnson,Rep,JOHNSD
63rd,Casey Snider,Rep,SNIDEC
63rd,Cory Maloy,Rep,MALOYC
63rd,Kyle Andersen,Rep,ANDERKR
63rd,Steve Waldrip,Rep,WALDRS
63rd,Cal Musselman,Rep,MUSSEC
63rd,LaWanna Shurtliff,Dem,SHURTLL
63rd,Kelly Miles,Rep,MILESK
63rd,Mike Schultz,Rep,SCHULM
63rd,Paul Ray,Rep,RAYP
63rd,Karianne Lisonbee,Rep,LISONK
63rd,Brad Wilson,Rep,WILSOB
63rd,Stephen Handy,Rep,HANDYS
63rd,Stewart Barlow,Rep,BARLOS
63rd,Timothy Hawkes,Rep,HAWKET
63rd,Raymond Ward,Rep,WARDR
63rd,Melissa Garff Ballard,Rep,GARFFM
63rd,Douglas Sagers,Rep,SAGERD
63rd,Susan Duckworth,Dem,DUCKWS
63rd,Sandra Hollins,Dem,HOLLIS
63rd,Jennifer Dailey-Provost,Dem,DAILEJ
63rd,Joel Briscoe,Dem,BRISCJ
63rd,Angela Romero,Dem,ROMERA
63rd,Brady Brammer,Rep,BRAMMB
63rd,Brian King,Dem,KINGB
63rd,Lee Perry,Rep,PERRYLB
63rd,Mike Winder,Rep,WINDEM
63rd,Elizabeth Weight,Dem,WEIGHE
63rd,Suzanne Harrison,Dem,HARRIS
63rd,Craig Hall,Rep,HALLHC
63rd,Karen Kwan,Dem,KWANK
63rd,Mark Wheatley,Dem,WHEATM
63rd,Patrice M. Arent,Dem,ARENTPM
63rd,Carol Spackman Moss,Dem,SPACKC
63rd,Eric Hutchings,Rep,HUTCHEK
63rd,James Dunnigan,Rep,DUNNIJ
63rd,Stephanie Pitcher,Dem,PITCHS
63rd,Mark Strong,Rep,STRONM
63rd,Kim Coleman,Rep,COLEMK
63rd,Cheryl Acton,Rep,ACTONC
63rd,Andrew Stoddard,Dem,STODDA
63rd,Steve Eliason,Rep,ELIASS
63rd,Marie Poulson,Dem,POULSMH
63rd,Steve Christiansen,Rep,CHRISS
63rd,Keven Stratton,Rep,STRATK
63rd,Robert Spendlove,Rep,SPENDR
63rd,Susan Pulsipher,Rep,PULSIS
63rd,Jeff Stenquist,Rep,STENQJ
63rd,Candice Pierucci,Rep,PIERUC
63rd,Logan Wilde,Rep,WILDEL
63rd,Tim Quinn,Rep,QUINNT
63rd,Scott Chew,Rep,CHEWS
63rd,Kay Christofferson,Rep,CHRISK
63rd,Jon Hawkins,Rep,HAWKIJ
63rd,Derrin Owens,Rep,OWENSD
63rd,Val Peterson,Rep,PETERV
63rd,Brad Daw,Rep,DAWBM
63rd,Marsha Judkins,Rep,JUDKIM
63rd,Travis Seegmiller,Rep,SEEGMT
63rd,Adam Robertson,Rep,ROBERA
63rd,Norm Thurston,Rep,THURSN
63rd,Francis Gibson,Rep,GIBSOF
63rd,Mike McKell,Rep,MCKELMK
63rd,Mark Roberts,Rep,ROBERMK
63rd,Merrill Nelson,Rep,NELSOM
63rd,Christine Watkins,Rep,WATKIC
63rd,Carl Albrecht,Rep,ALBREC
63rd,Bradley Last,Rep,LASTB
63rd,Rex Shipp,Rep,SHIPPR
63rd,Phil Lyman,Rep,LYMANP
63rd,V. Lowry Snow,Rep,SNOWVL
63rd,Walt Brooks,Rep,BROOKW
64th,Joel Ferry,Rep,FERRYJ
64th,Jefferson Moss,Rep,MOSSJ
64th,Mike Petersen,Rep,PETERM
64th,Dan Johnson,Rep,JOHNSD
64th,Casey Snider,Rep,SNIDEC
64th,Cory Maloy,Rep,MALOYC
64th,Ryan Wilcox,Rep,WILCORD
64th,Steve Waldrip,Rep,WALDRS
64th,Cal Musselman,Rep,MUSSEC
64th,Rosemary Lesser,Dem,LESSER
64th,Kelly Miles,Rep,MILESK
64th,Mike Schultz,Rep,SCHULM
64th,Paul Ray,Rep,RAYP
64th,Karen Peterson,Rep,PETERK
64th,Karianne Lisonbee,Rep,LISONK
64th,Brad Wilson,Rep,WILSOB
64th,Stephen Handy,Rep,HANDYS
64th,Stewart Barlow,Rep,BARLOS
64th,Timothy Hawkes,Rep,HAWKET
64th,Raymond Ward,Rep,WARDR
64th,Melissa Garff Ballard,Rep,GARFFM
64th,Douglas Sagers,Rep,SAGERD
64th,Clare Collard,Dem,COLLAC
64th,Sandra Hollins,Dem,HOLLIS
64th,Jennifer Dailey-Provost,Dem,DAILEJ
64th,Joel Briscoe,Dem,BRISCJ
64th,Angela Romero,Dem,ROMERA
64th,Brady Brammer,Rep,BRAMMB
64th,Brian King,Dem,KINGB
64th,Matthew Gwynn,Rep,GWYNNM
64th,Mike Winder,Rep,WINDEM
64th,Elizabeth Weight,Dem,WEIGHE
64th,Suzanne Harrison,Dem,HARRIS
64th,Judy Weeks-Rohner,Rep,WEEKSJ
64th,Vacant,Vacant,
64th,Mark Wheatley,Dem,WHEATM
64th,Doug Owens,Dem,OWENSD
64th,Carol Spackman Moss,Dem,SPACKC
64th,Ashlee Matthews,Dem,MATTHA
64th,James Dunnigan,Rep,DUNNIJ
64th,Stephanie Pitcher,Dem,PITCHS
64th,Mark Strong,Rep,STRONM
64th,Jordan Teuscher,Rep,TEUSCJ
64th,Cheryl Acton,Rep,ACTONC
64th,Andrew Stoddard,Dem,STODDA
64th,Steve Eliason,Rep,ELIASS
64th,Gay Lynn Bennion,Dem,LYNN G
64th,Ken Ivory,Rep,IVORYK
64th,Keven Stratton,Rep,STRATK
64th,Robert Spendlove,Rep,SPENDR
64th,Susan Pulsipher,Rep,PULSIS
64th,Jeff Stenquist,Rep,STENQJ
64th,Candice Pierucci,Rep,PIERUC
64th,Kera Birkeland,Rep,BIRKEK
64th,Mike Kohler,Rep,KOHLEM
64th,Scott Chew,Rep,CHEWS
64th,Kay Christofferson,Rep,CHRISK
64th,Jon Hawkins,Rep,HAWKIJ
64th,Steven J. Lund,Rep,LUNDSJ
64th,Val Peterson,Rep,PETERV
64th,Nelson Abbott,Rep,ABBOTN
64th,Marsha Judkins,Rep,JUDKIM
64th,Travis Seegmiller,Rep,SEEGMT
64th,Adam Robertson,Rep,ROBERA
64th,Norm Thurston,Rep,THURSN
64th,"Francis Gibson(until Nov. 8, 2021)Stephen Whyte(appointed Nov. 9 2021)",Rep,GIBSOF
64th,Jeff Burton,Rep,BURTOJS
64th,Doug Welton,Rep,WELTOD
64th,Merrill Nelson,Rep,NELSOM
64th,Christine Watkins,Rep,WATKIC
64th,Carl Albrecht,Rep,ALBREC
64th,Bradley Last,Rep,LASTB
64th,Rex Shipp,Rep,SHIPPR
64th,Phil Lyman,Rep,LYMANP
64th,V. Lowry Snow,Rep,SNOWVL
64th,Walt Brooks,Rep,BROOKW
65th,Thomas W. Peterson,Rep,PETERTW
65th,Michael J. Petersen,Rep,PETERMJ
65th,Dan N. Johnson,Rep,JOHNSDN
65th,Kera Birkeland,Rep,BIRKEK
65th,Casey Snider,Rep,SNIDEC
65th,Matthew H. Gwynn,Rep,GWYNNMH
65th,Ryan D. Wilcox,Rep,WILCORD
65th,Jason B. Kyle,Rep,KYLEJB
65th,Calvin R. Musselman,Rep,MUSSECR
65th,Rosemary T. Lesser,Dem,LESSER
65th,Katy Hall,Rep,HALLK
65th,Mike Schultz,Rep,SCHULM
65th,Karen M. Peterson,Rep,PETERKM
65th,Karianne Lisonbee,Rep,LISONK
65th,Ariel Defay,Rep,DEFAYA
65th,Trevor Lee,Rep,LEET
65th,Stewart E. Barlow,Rep,BARLOSE
65th,Paul A. Cutler,Rep,CUTLEPA
65th,Raymond P. Ward,Rep,WARDRP
