session,name,party,id
63rd,Luz Escamilla,Dem,ESCAML
63rd,Derek Kitchen,Dem,KITCHD
63rd,Gene Davis,Dem,DAVISG
63rd,Jani Iwamoto,Dem,IWAMOJ
63rd,Karen Mayne,Dem,MAYNEK
63rd,Wayne Harper,Rep,HARPEW
63rd,Deidre Henderson,Rep,HENDEDM
63rd,Kathleen Riebe,Dem,RIEBEK
63rd,Kirk Cullimore Jr.,Rep,CULLIK
63rd,Lincoln Fillmore,Rep,FILLML
63rd,Daniel McCay,Rep,MCCAYD
63rd,Daniel Thatcher,Rep,THATCD
63rd,Jake Anderegg,Rep,ANDERJ
63rd,Dan Hemmert,Rep,HEMMED
63rd,Keith Grover,Rep,GROVEK
63rd,Curt Bramble,Rep,BRAMBC
63rd,Scott Sandall,Rep,SANDAS
63rd,F. Ann Millner,Rep,MILLNFA
63rd,Allen M. Christensen,Rep,CHRISAM
63rd,D. Gregg Buxton,Rep,BUXTODG
63rd,Jerry Stevenson,Rep,STEVEJ
63rd,J. Stuart Adams,Rep,ADAMSJS
63rd,Todd Weiler,Rep,WEILET
63rd,Ralph Okerlund,Rep,OKERLR
63rd,Lyle W. Hillyard,Rep,HILLYLW
63rd,Ronald Winterton,Rep,WINTER
63rd,David Hinkins,Rep,HINKID
63rd,Evan Vickers,Rep,VICKEE
63rd,Don Ipson,Rep,IPSOND
64th,Luz Escamilla,Dem,ESCAML
64th,Derek Kitchen,Dem,KITCHD
64th,Gene Davis,Dem,DAVISG
64th,Jani Iwamoto,Dem,IWAMOJ
64th,Karen Mayne,Dem,MAYNEK
64th,Wayne Harper,Rep,HARPEW
64th,Mike McKell,Rep,MCKELM
64th,Kathleen Riebe,Dem,RIEBEK
64th,Kirk Cullimore Jr.,Rep,CULLIK
64th,Lincoln Fillmore,Rep,FILLML
64th,Daniel McCay,Rep,MCCAYD
64th,Daniel Thatcher,Rep,THATCD
64th,Jake Anderegg,Rep,ANDERJ
64th,Mike Kennedy,Rep,KENNEMS
64th,Keith Grover,Rep,GROVEK
64th,Curt Bramble,Rep,BRAMBC
64th,Scott Sandall,Rep,SANDAS
64th,F. Ann Millner,Rep,MILLNFA
64th,John Johnson,Rep,JOHNSJD
64th,D. Gregg Buxton,Rep,BUXTODG
64th,Jerry Stevenson,Rep,STEVEJ
64th,J. Stuart Adams,Rep,ADAMSJS
64th,Todd Weiler,Rep,WEILET
64th,Derrin Owens,Rep,OWENSD
64th,Chris H. Wilson,Rep,WILSOCH
64th,Ronald Winterton,Rep,WINTER
64th,David Hinkins,Rep,HINKID
64th,Evan Vickers,Rep,VICKEE
64th,Don Ipson,Rep,IPSOND
66th,Scott Sandall,Rep,SANDAS
66th,Chris H. Wilson,Rep,WILSOCH
66th,John D. Johnson,Rep,JOHNSJD
66th,Cal Musselman,Rep,MUSSECR
66th,Ann Millner,Rep,MILLNA
66th,Jerry Stevenson,Rep,STEVEJ
66th,Stuart Adams,Rep,ADAMSJS
66th,Todd Weiler,Rep,WEILET
66th,Jennifer Plumb,Dem,PLUMBJ
66th,Luz Escamilla,Dem,ESCAML
66th,Daniel Thatcher,FWD,THATCD
66th,Karen Kwan,Dem,KWANK
66th,Nate Blouin,Dem,BLOUIN
66th,Stephanie Pitcher,Dem,PITCHS
66th,Kathleen Riebe,Dem,RIEBEK
66th,Wayne Harper,Rep,HARPEW
66th,Lincoln Fillmore,Rep,FILLML
66th,Daniel McCay,Rep,MCCAYD
66th,Kirk Cullimore Jr.,Rep,CULLIK
66th,Ronald Winterton,Rep,WINTER
66th,Brady Brammer,Rep,BRAMMB
66th,Heidi Balderree,Rep,BALDEH
66th,Keith Grover,Rep,GROVEK
66th,Keven Stratton,Rep,STRATKJ
66th,Mike McKell,Rep,MCKELM
66th,David Hinkins,Rep,HINKID
66th,Derrin Owens,Rep,OWENSD
66th,Evan Vickers,Rep,VICKEE
66th,Don Ipson,Rep,IPSOND
66th,Kirk A. Cullimore,Rep,CULLIKA
66th,Emily Buss,FWD,BUSSEM
64th,Derek L. Kitchen,Dem,KITCHDL
66th,Don L. Ipson,Rep,IPSONDL
62nd,Brian Zehnder,Rep,ZEHNDB
62nd,Wayne L. Niederhauser,Rep,NIEDEWL
62nd,Jim Dabakis,Dem,DABAKJ
